"","country","site_code","latitude","longitude"
"1105","Ecuador","ETP126",-1.27287,-81.05368
"1107","Ecuador","ETP137",-1.2837,-81.06969
"1108","Ecuador","ETP215",-1.25533,-81.07017
"1109","Ecuador","ETP201",-1.27907,-81.07524
"1110","Ecuador","ETP202",-1.27642,-81.05039
"1111","Ecuador","ETP189",-1.27515,-81.05207
"1112","Ecuador","ETP172",-1.4036,-80.76951
"1113","Ecuador","ETP175",-1.47128,-80.78386
"1114","Ecuador","ETP196",-1.50074,-80.80472
"1116","Ecuador","ETP183",-1.47334,-80.78931
"1117","Ecuador","ETP216",-1.52181,-80.81674
"1118","Ecuador","ETP170",-1.49309,-80.8061
"1120","Tonga","TONGA1",-19.83026,-174.4173
"1121","Tonga","TONGA2",-19.8358,-174.4193
"1122","Tonga","TONGA3",-19.93805,-174.7136
"1123","Tonga","TONGA4",-19.9355,-174.72811
"1124","Tonga","TONGA5",-20.1081,-174.72811
"1125","Tonga","TONGA6",-20.10828,-174.70102
"1126","Tonga","TONGA7",-20.02291,-174.68276
"1127","Tonga","TONGA8",-18.7146,-174.10287
"1128","Tonga","TONGA9",-18.71621,-174.08363
"1129","Tonga","TONGA10",-18.7158,-174.14896
"1130","Tonga","TONGA11",-18.71749,-174.14868
"1131","Tonga","TONGA12",-18.69375,-174.13804
"1132","Tonga","TONGA13",-18.692,-174.13804
"1133","Tonga","TONGA14",-18.68827,-174.04477
"1136","Cook Islands","COOK1",-18.85415,-159.80642
"1137","Cook Islands","COOK2",-18.85616,-159.81254
"1138","Cook Islands","COOK3",-18.92829,-159.75881
"1139","Cook Islands","COOK4",-18.85491,-159.80999
"1140","Niue","NIUE1",-19.12596,-169.91409
"1141","Niue","NIUE2",-19.12598,-169.91349
"1142","Niue","NIUE3",-19.05676,-169.92366
"1143","Niue","NIUE4",-19.12953,-169.91762
"1144","Niue","NIUE5",-18.97603,-169.89648
"1145","Niue","NIUE6",-19.0612,-169.9316
"1146","Niue","NIUE7",-19.0618,-169.933
"1150","French Polynesia","MI1",-9.88992,-139.07823
"1151","French Polynesia","MI2",-9.90635,-139.10408
"1152","French Polynesia","MI3",-9.39721,-140.12833
"1153","French Polynesia","MI4",-9.40052,-140.13117
"1154","French Polynesia","MI5",-9.40621,-140.12833
"1155","French Polynesia","MI6",-8.94792,-140.16498
"1156","French Polynesia","MI7",-8.82557,-140.24975
"1157","French Polynesia","FP16",-15.9408,-145.91479
"1158","French Polynesia","FP17",-15.93489,-145.88078
"1159","French Polynesia","FP18",-15.9374,-145.89144
"1160","French Polynesia","FP19",-16.07223,-145.70173
"1161","French Polynesia","FP20",-16.08315,-145.69337
"1162","French Polynesia","FP21",-16.0709,-145.69915
"1163","French Polynesia","FP22",-15.01409,-148.26711
"1164","French Polynesia","FP1",-17.53594,-149.58207
"1165","French Polynesia","FP2",-17.47593,-149.82433
"1166","French Polynesia","FP3",-17.48285,-149.89383
"1167","French Polynesia","FP4",-17.49007,-149.92352
"1168","French Polynesia","FP5",-17.0004,-149.59126
"1169","French Polynesia","FP6",-16.72503,-150.97299
"1170","French Polynesia","FP7",-16.69283,-151.03572
"1171","French Polynesia","FP8",-16.72781,-151.04663
"1172","French Polynesia","FP9",-16.74255,-151.42234
"1173","French Polynesia","FP10",-16.7456,-151.42573
"1174","French Polynesia","FP11",-16.74719,-151.42478
"1175","French Polynesia","FP14",-16.74082,-151.42032
"1176","French Polynesia","FP12",-16.43979,-151.76589
"1177","French Polynesia","FP13",-16.43719,-151.76281
"1178","French Polynesia","FP15",-16.77861,-153.95642
"1184","Cambodia","CAM2",10.66321,103.2908
"1185","Cambodia","CAM4",10.62083,103.29556
"1186","Cambodia","CAM5",10.73029,102.86565
"1187","Cambodia","CAM6",10.73054,102.86718
"1188","Cambodia","CAM7",10.62253,103.28933
